github.com/AlDanial/cloc v 1.76  T=0.24 s (427.6 files/s, 35312.1 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                            41            531            914           4524
XML                             52            124            144           1345
HTML                             1            123              0            571
Markdown                         4             61              0             88
Bourne Shell                     1              3             17             17
Ant                              1             17             59             16
make                             1              5             16             11
JSON                             3              0              0              3
-------------------------------------------------------------------------------
SUM:                           104            864           1150           6575
-------------------------------------------------------------------------------
