github.com/AlDanial/cloc v 1.76  T=0.97 s (393.6 files/s, 46297.4 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                           137           3755           3125          18187
XML                            221            614             92          17460
C                                3            119            187            513
Markdown                         5            144              0            259
Groovy                           5             26              0            172
C/C++ Header                     5             38             98            134
JSON                             5              0              0              5
CMake                            1              0              0              3
-------------------------------------------------------------------------------
SUM:                           382           4696           3502          36733
-------------------------------------------------------------------------------
