github.com/AlDanial/cloc v 1.76  T=0.17 s (214.0 files/s, 15542.5 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                             8            222             48           1120
XML                             10             45              0            497
C                                3             65             90            337
C/C++ Header                     2             15             26             81
make                             3             13              0             26
Ant                              1             17             59             16
JSON                            10              0              0             10
-------------------------------------------------------------------------------
SUM:                            37            377            223           2087
-------------------------------------------------------------------------------
